summary_id,type,event_id,mean,standard_deviation,exposure_value
1,1,4654,18.862284,0,48347220.000000
1,2,4654,38.000378,107.505997,48347220.000000
1,1,1795,5.039328,0,48347220.000000
1,2,1795,2.678802,8.471114,48347220.000000
1,1,2448,1987794.125000,0,48347220.000000
1,2,2448,1627408.750000,1439070.000000,48347220.000000
1,1,4186,0.000000,0,43284180.000000
1,2,4186,0.000000,0.000000,43284180.000000
1,1,4806,2.014420,0,48347220.000000
1,2,4806,2.710313,5.893243,48347220.000000
1,1,562,0.000000,0,43284180.000000
1,2,562,0.000000,0.000000,43284180.000000
1,1,2642,1098647.750000,0,48347220.000000
1,2,2642,1352763.125000,1497437.125000,48347220.000000
1,1,1878,8777.088867,0,48347220.000000
1,2,1878,508.415588,1051.286133,48347220.000000
1,1,3860,5.084301,0,48347220.000000
1,2,3860,13.355023,18.075232,48347220.000000
1,1,5259,7.023348,0,48347220.000000
1,2,5259,11.681964,12.067677,48347220.000000
1,1,5234,0.000000,0,43284180.000000
1,2,5234,0.000000,0.000000,43284180.000000
1,1,3899,5606.473145,0,48347220.000000
1,2,3899,2944.122070,3338.575195,48347220.000000
1,1,734,0.000000,0,43284180.000000
1,2,734,0.000000,0.000000,43284180.000000
1,1,2454,2.972018,0,43284180.000000
1,2,2454,2.500129,7.906103,43284180.000000
1,1,3664,0.000000,0,43284180.000000
1,2,3664,0.000000,0.000000,43284180.000000
1,1,4054,2695.581543,0,48347220.000000
1,2,4054,6643.854492,7183.321777,48347220.000000
1,1,2704,616378.250000,0,48347220.000000
1,2,2704,734853.375000,1037232.625000,48347220.000000
1,1,4261,0.000000,0,43284180.000000
1,2,4261,0.000000,0.000000,43284180.000000
1,1,4057,0.000000,0,43284180.000000
1,2,4057,0.000000,0.000000,43284180.000000
1,1,5108,514.521790,0,48347220.000000
1,2,5108,35.738449,107.828094,48347220.000000
1,1,5210,2826.835693,0,48347220.000000
1,2,5210,6907.608398,11251.113281,48347220.000000
1,1,3024,0.000000,0,43284180.000000
1,2,3024,0.000000,0.000000,43284180.000000
1,1,3004,3801.553711,0,48347220.000000
1,2,3004,1201.983887,1919.790527,48347220.000000
1,1,4524,1.003253,0,12823488.000000
1,2,4524,1.586555,5.017128,12823488.000000
1,1,5302,0.000000,0,43284180.000000
1,2,5302,0.000000,0.000000,43284180.000000
1,1,2398,731984.875000,0,48347220.000000
1,2,2398,381656.187500,379919.406250,48347220.000000
1,1,2521,0.000000,0,43284180.000000
1,2,2521,0.000000,0.000000,43284180.000000
1,1,2714,35.746284,0,48347220.000000
1,2,2714,89.310135,135.606613,48347220.000000
1,1,4151,0.000000,0,43284180.000000
1,2,4151,0.000000,0.000000,43284180.000000
1,1,1936,242813.875000,0,48347220.000000
1,2,1936,367059.218750,447285.593750,48347220.000000
1,1,1294,0.000000,0,43284180.000000
1,2,1294,0.000000,0.000000,43284180.000000
1,1,1944,469.041870,0,48347220.000000
1,2,1944,9.605945,9.446043,48347220.000000
1,1,5013,2.877587,0,48347220.000000
1,2,5013,2.841850,8.986718,48347220.000000
1,1,3617,515.092041,0,48347220.000000
1,2,3617,244.611496,556.843445,48347220.000000
1,1,2175,0.000000,0,43284180.000000
