summary_id,type,event_id,mean,standard_deviation,exposure_value
1,1,4654,0.000000,0,14354167.000000
1,2,4654,0.000000,0.000000,14354167.000000
1,1,1795,0.000000,0,14354167.000000
1,2,1795,0.000000,0.000000,14354167.000000
1,1,2448,446338.281250,0,14354167.000000
1,2,2448,373885.312500,391516.875000,14354167.000000
1,1,4186,0.000000,0,12835254.000000
1,2,4186,0.000000,0.000000,12835254.000000
1,1,4806,0.000000,0,14354167.000000
1,2,4806,0.000000,0.000000,14354167.000000
1,1,562,0.000000,0,12835254.000000
1,2,562,0.000000,0.000000,12835254.000000
1,1,2642,179594.328125,0,14354167.000000
1,2,2642,274408.562500,434617.406250,14354167.000000
1,1,1878,0.000000,0,14354167.000000
1,2,1878,0.000000,0.000000,14354167.000000
1,1,3860,0.000000,0,14354167.000000
1,2,3860,0.000000,0.000000,14354167.000000
1,1,5259,0.000000,0,14354167.000000
1,2,5259,0.000000,0.000000,14354167.000000
1,1,5234,0.000000,0,12835254.000000
1,2,5234,0.000000,0.000000,12835254.000000
1,1,3899,0.000000,0,14354167.000000
1,2,3899,0.000000,0.000000,14354167.000000
1,1,734,0.000000,0,12835254.000000
1,2,734,0.000000,0.000000,12835254.000000
1,1,2454,0.000000,0,12835254.000000
1,2,2454,0.000000,0.000000,12835254.000000
1,1,3664,0.000000,0,12835254.000000
1,2,3664,0.000000,0.000000,12835254.000000
1,1,4054,0.000000,0,14354167.000000
1,2,4054,0.000000,0.000000,14354167.000000
1,1,2704,34913.476562,0,14354167.000000
1,2,2704,143260.375000,262633.687500,14354167.000000
1,1,4261,0.000000,0,12835254.000000
1,2,4261,0.000000,0.000000,12835254.000000
1,1,4057,0.000000,0,12835254.000000
1,2,4057,0.000000,0.000000,12835254.000000
1,1,5108,0.000000,0,14354167.000000
1,2,5108,0.000000,0.000000,14354167.000000
1,1,5210,0.000000,0,14354167.000000
1,2,5210,0.000000,0.000000,14354167.000000
1,1,3024,0.000000,0,12835254.000000
1,2,3024,0.000000,0.000000,12835254.000000
1,1,3004,0.000000,0,14354167.000000
1,2,3004,0.000000,0.000000,14354167.000000
1,1,4524,0.000000,0,3697046.750000
1,2,4524,0.000000,0.000000,3697046.750000
1,1,5302,0.000000,0,12835254.000000
1,2,5302,0.000000,0.000000,12835254.000000
1,1,2398,69595.468750,0,14354167.000000
1,2,2398,31530.421875,68064.476562,14354167.000000
1,1,2521,0.000000,0,12835254.000000
1,2,2521,0.000000,0.000000,12835254.000000
1,1,2714,0.000000,0,14354167.000000
1,2,2714,0.000000,0.000000,14354167.000000
1,1,4151,0.000000,0,12835254.000000
1,2,4151,0.000000,0.000000,12835254.000000
1,1,1936,0.000000,0,14354167.000000
1,2,1936,37778.070312,77552.117188,14354167.000000
1,1,1294,0.000000,0,12835254.000000
1,2,1294,0.000000,0.000000,12835254.000000
1,1,1944,0.000000,0,14354167.000000
1,2,1944,0.000000,0.000000,14354167.000000
1,1,5013,0.000000,0,14354167.000000
1,2,5013,0.000000,0.000000,14354167.000000
1,1,3617,0.000000,0,14354167.000000
1,2,3617,0.000000,0.000000,14354167.000000
1,1,2175,0.000000,0,12835254.000000
1,2,2175,0.000000,0.000000,12835254.000000
1,1,818,0.000000,0,14354167.000000
1,2,818,0.000000,0.000000,14354167.000000
1,1,2506,25023.021484,0,14354167.000000
1,2,2506,96024.578125,210562.781250,14354167.000000
1,1,2315,0.000000,0,14354167.000000
1,2,2315,0.000000,0.000000,14354167.000000
1,1,4693,0.000000,0,12835254.000000
1,2,4693,0.000000,0.000000,12835254.000000
1,1,4021,0.000000,0,12835254.000000
1,2,4021,0.000000,0.000000,12835254.000000
1,1,3907,0.000000,0,14354167.000000
1,2,3907,0.000000,0.000000,14354167.000000
1,1,1937,0.000000,0,12835254.000000
1,2,1937,0.000000,0.000000,12835254.000000
1,1,3909,0.000000,0,14354167.000000
1,2,3909,0.000000,0.000000,14354167.000000
1,1,5270,0.000000,0,12835254.000000
1,2,5270,0.000000,0.000000,12835254.000000
1,1,2399,223220.671875,0,14354167.000000
1,2,2399,159826.109375,240511.015625,14354167.000000
1,1,3025,0.000000,0,12835254.000000
1,2,3025,0.000000,0.000000,12835254.000000
1,1,3303,0.000000,0,12835254.000000
1,2,3303,0.000000,0.000000,12835254.000000
1,1,5310,0.000000,0,14354167.000000
1,2,5310,0.000000,0.000000,14354167.000000
1,1,1657,0.000000,0,14354167.000000
1,2,1657,0.000000,0.000000,14354167.000000
1,1,5361,0.000000,0,14354167.000000
1,2,5361,44522.507812,140792.531250,14354167.000000
1,1,5327,0.000000,0,14354167.000000
1,2,5327,1039.113892,3285.966553,14354167.000000
1,1,2727,0.000000,0,14354167.000000
1,2,2727,0.000000,0.000000,14354167.000000
1,1,2479,117930.507812,0,14354167.000000
1,2,2479,420684.812500,515700.750000,14354167.000000
1,1,4155,0.000000,0,12835254.000000
1,2,4155,0.000000,0.000000,12835254.000000
1,1,4862,0.000000,0,14354167.000000
1,2,4862,0.000000,0.000000,14354167.000000
1,1,4369,0.000000,0,12835254.000000
1,2,4369,0.000000,0.000000,12835254.000000
1,1,5233,0.000000,0,12835254.000000
1,2,5233,0.000000,0.000000,12835254.000000
1,1,5444,0.000000,0,14354167.000000
1,2,5444,0.000000,0.000000,14354167.000000
1,1,17,0.000000,0,12835254.000000
