type, summary_id,period_no,event_id,mean,standard_deviation,exposure_value,occ_year,occ_month,occ_day
1,1,4527,2448,446338.28,0.00,14354167.00,4527,2,24
2,1,4527,2448,373885.31,391516.88,14354167.00,4527,2,24
1,1,4237,2642,179594.33,0.00,14354167.00,4237,12,7
2,1,4237,2642,274408.56,434617.41,14354167.00,4237,12,7
1,1,2618,2704,34913.48,0.00,14354167.00,2618,6,5
2,1,2618,2704,143260.38,262633.69,14354167.00,2618,6,5
1,1,3422,2398,69595.47,0.00,14354167.00,3422,4,10
2,1,3422,2398,31530.42,68064.48,14354167.00,3422,4,10
2,1,2212,1936,37778.07,77552.12,14354167.00,2212,10,1
1,1,1588,2506,25023.02,0.00,14354167.00,1588,4,17
2,1,1588,2506,96024.58,210562.78,14354167.00,1588,4,17
1,1,2441,2399,223220.67,0.00,14354167.00,2441,10,20
2,1,2441,2399,159826.11,240511.02,14354167.00,2441,10,20
2,1,1532,5361,44522.51,140792.53,14354167.00,1532,1,3
2,1,4367,5327,1039.11,3285.97,14354167.00,4367,4,28
1,1,3555,2479,117930.51,0.00,14354167.00,3555,10,11
2,1,3555,2479,420684.81,515700.75,14354167.00,3555,10,11
1,1,4363,1789,2742186.50,0.00,14354167.00,4363,4,14
2,1,4363,1789,2405569.25,1477852.38,14354167.00,4363,4,14
2,1,718,5216,888.23,2808.84,14354167.00,718,9,6
1,1,2257,3359,119076.19,0.00,14354167.00,2257,12,31
2,1,2257,3359,250239.05,570963.25,14354167.00,2257,12,31
1,1,4806,5223,610750.00,0.00,14354167.00,4806,12,13
2,1,4806,5223,521982.56,355837.50,14354167.00,4806,12,13
2,1,497,2691,8079.71,25550.29,14354167.00,497,8,3
2,1,4410,5357,112159.17,266979.91,14354167.00,4410,12,25
2,1,2806,5075,1523.95,4819.15,14354167.00,2806,10,7
2,1,2715,2332,2626.23,8304.86,14354167.00,2715,3,19
1,1,5000,2379,16578.59,0.00,14354167.00,5000,8,1
2,1,5000,2379,43091.10,69224.91,14354167.00,5000,8,1
